"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.910","3.100","3.130","2.860","2,26B","-6,13%"
"01/10/2025","3.100","3.200","3.540","3.020","3,37B","-1,90%"
"01/09/2025","3.160","2.950","3.930","2.950","5,04B","3,95%"
"01/08/2025","3.040","2.860","3.250","2.790","2,29B","6,67%"
"01/07/2025","2.850","3.070","3.270","2.770","3,25B","-6,25%"
"01/06/2025","3.040","3.170","3.660","2.830","4,60B","-2,25%"
"01/05/2025","3.110","2.270","3.280","2.240","5,19B","43,32%"
"01/04/2025","2.170","1.450","2.300","1.390","3,62B","32,72%"
"01/03/2025","1.635","1.580","1.690","1.465","1,07B","3,15%"
"01/02/2025","1.585","1.395","1.690","1.355","1,36B","14,03%"
"01/01/2025","1.390","1.530","1.560","1.385","671,43M","-8,85%"
"01/12/2024","1.525","1.410","1.655","1.410","923,03M","6,64%"
"01/11/2024","1.430","1.590","1.610","1.385","1,29B","-10,63%"
"01/10/2024","1.600","1.490","1.765","1.480","2,67B","8,11%"
"01/09/2024","1.480","1.400","1.490","1.305","2,12B","6,47%"
"01/08/2024","1.390","1.340","1.525","1.265","2,57B","5,70%"
"01/07/2024","1.315","1.255","1.405","1.250","995,06M","5,20%"
"01/06/2024","1.250","1.465","1.490","1.175","927,95M","-14,68%"
"01/05/2024","1.465","1.605","1.670","1.465","1,05B","-10,67%"
"01/04/2024","1.640","1.615","1.845","1.545","1,11B","2,50%"
"01/03/2024","1.600","1.465","1.720","1.460","1,02B","9,59%"
"01/02/2024","1.460","1.550","1.580","1.405","917,51M","-5,81%"
"01/01/2024","1.550","1.715","1.735","1.525","927,06M","-9,09%"
"01/12/2023","1.705","1.710","1.810","1.590","896,89M","-2,01%"
"01/11/2023","1.740","1.705","1.740","1.580","743,02M","2,05%"
"01/10/2023","1.705","1.815","1.860","1.705","748,93M","-6,06%"
"01/09/2023","1.815","1.925","1.980","1.815","744,99M","-8,79%"
"01/08/2023","1.990","2.000","2.060","1.935","920,70M","0,25%"
"01/07/2023","1.985","1.955","2.050","1.955","597,25M","1,79%"
"01/06/2023","1.950","1.905","2.060","1.905","569,81M","2,90%"
"01/05/2023","1.895","2.090","2.150","1.895","956,56M","-9,76%"
"01/04/2023","2.100","2.100","2.160","2.010","835,60M","0,48%"
"01/03/2023","2.090","1.990","2.100","1.770","1,72B","5,03%"
"01/02/2023","1.990","2.340","2.390","1.985","1,52B","-13,85%"
"01/01/2023","2.310","1.990","2.370","1.930","2,00B","16,37%"
"01/12/2022","1.985","2.000","2.080","1.900","1,21B","0,00%"
"01/11/2022","1.985","1.845","2.220","1.805","2,20B","7,59%"
"01/10/2022","1.845","1.900","1.975","1.760","1,11B","-4,90%"
"01/09/2022","1.940","1.985","2.150","1.870","2,24B","-2,51%"
"01/08/2022","1.990","2.030","2.270","1.865","3,10B","1,79%"
"01/07/2022","1.955","1.795","2.070","1.535","2,46B","8,61%"
"01/06/2022","1.800","2.500","2.560","1.800","2,12B","-28,29%"
"01/05/2022","2.510","2.500","2.670","2.290","1,95B","-3,46%"
"01/04/2022","2.600","2.450","2.940","2.420","2,91B","6,56%"
"01/03/2022","2.440","2.240","3.170","2.230","6,90B","9,91%"
"01/02/2022","2.220","1.805","2.270","1.765","2,82B","25,42%"
"01/01/2022","1.770","2.260","2.350","1.705","3,09B","-21,33%"
"01/12/2021","2.250","2.300","2.370","2.220","747,70M","-2,17%"
"01/11/2021","2.300","2.360","2.490","2.300","1,57B","-1,71%"
"01/10/2021","2.340","2.280","2.630","2.220","3,07B","2,18%"
"01/09/2021","2.290","2.390","2.630","2.250","2,42B","-4,18%"
"01/08/2021","2.390","2.520","2.520","2.240","1,58B","-5,16%"
"01/07/2021","2.520","2.280","2.730","2.190","2,75B","9,57%"
"01/06/2021","2.300","2.460","2.600","2.130","1,89B","-6,12%"
"01/05/2021","2.450","2.500","2.700","2.250","2,72B","-1,61%"
"01/04/2021","2.490","2.290","2.540","2.190","3,40B","10,67%"
"01/03/2021","2.250","2.850","2.880","2.100","6,89B","-20,77%"
"01/02/2021","2.840","2.090","3.040","2.070","15,17B","27,93%"
"01/01/2021","2.220","1.970","3.440","1.940","21,18B","14,73%"
"01/12/2020","1.935","1.150","2.070","1.105","11,75B","69,00%"
"01/11/2020","1.145","1.065","1.280","1.055","8,00B","8,53%"
"01/10/2020","1.055","710","1.180","705","8,50B","49,65%"
"01/09/2020","705","820","855","695","1,53B","-14,02%"
"01/08/2020","820","740","865","680","2,90B","12,33%"
"01/07/2020","730","610","755","590","2,13B","20,66%"
"01/06/2020","605","540","650","535","2,02B","13,08%"
"01/05/2020","535","490","555","484","1,06B","4,90%"
"01/04/2020","510","450","590","424","2,03B","13,33%"
"01/03/2020","450","580","650","338","2,22B","-21,74%"
"01/02/2020","575","725","750","540","1,14B","-20,14%"
"01/01/2020","720","845","920","715","1,78B","-14,29%"
"01/12/2019","840","740","870","740","1,05B","12,00%"
